title,date,url,author,section
" Em discurso na ONU, Damares defende a vida “desde a concepção”","
25 de fevereiro de 2019 ",https://www.cartacapital.com.br/sociedade/na-onu-damares-defende-a-vida-desde-a-concepcao/,Alexandre Putti,Sociedade
 Governo Bolsonaro suspende reforma agrária por tempo indeterminado,"
8 de janeiro de 2019 ",https://www.cartacapital.com.br/sociedade/governo-bolsonaro-suspende-reforma-agraria-por-tempo-indeterminado/,Daniel Camargos e Diego Junqueira*,Sociedade
"Câmara aprova PEC, engessa orçamento e impõe nova derrota a Bolsonaro","
27 de março de 2019 ",https://www.cartacapital.com.br/politica/camara-aprova-pec-engessa-orcamento-e-impoe-nova-derrota-a-bolsonaro/,Redação,Política
" PSOL, PT e PSB se reúnem e discutem candidatura única para a Câmara","
14 de janeiro de 2019 ",https://www.cartacapital.com.br/politica/psol-pt-e-psb-se-reunem-e-discutem-candidatura-unica-para-a-camara/,Marina Gama Cubas,Política
 Governo Bolsonaro volta atrás e cancela suspensão da reforma agrária,"
9 de janeiro de 2019 ",https://www.cartacapital.com.br/sociedade/governo-bolsonaro-volta-atras-e-cancela-suspensao-da-reforma-agraria/,"Daniel Camargos e Diego junqueira, da Repórter Brasil",Sociedade
" Após romper diálogo com o MST, Incra recua: “Poderão ser ouvidos”","
25 de fevereiro de 2019 ",https://www.cartacapital.com.br/politica/apos-romper-dialogo-com-o-mst-incra-recua-poderao-ser-ouvidos/,Thais Reis Oliveira,Política
Assentamento do Paraná é referência na produção de orgânicos,"
18 de março de 2019 ",https://www.cartacapital.com.br/sociedade/assentamento-do-parana-consolida-se-como-modelo-agroecologico/,René Ruschel,Sociedade
" “Governos passam”, diz coordenador do MST após Incra romper diálogo","
22 de fevereiro de 2019 ",https://www.cartacapital.com.br/politica/mst-dialogo-incra-ouvidoria/,Thais Reis Oliveira,Política
Governo Bolsonaro volta a suspender a reforma agrária,"
28 de março de 2019 ",https://www.cartacapital.com.br/politica/governo-bolsonaro-volta-a-suspender-a-reforma-agraria-no-pais/,Daniel Camargos e Ana Magalhães,Política
"Para Damares, meninos têm que aprender a dar flores às meninas","
8 de março de 2019 ",https://www.cartacapital.com.br/sociedade/para-damares-meninos-tem-que-aprender-a-dar-flores-as-meninas/,Alexandre Putti,Sociedade
 Damares: “Tem muito hotel especializado em sexo com animais no Brasil”,"
31 de janeiro de 2019 ",https://www.cartacapital.com.br/politica/damares-brasil-tem-muito-hotel-especializado-em-sexo-com-animais/,Vinicius Segalla,Política
 Mourão pró-aborto? Relembre práticas e discursos nada moderados do vice,"
1 de fevereiro de 2019 ",https://www.cartacapital.com.br/politica/mourao-pro-aborto-relembre-praticas-e-discursos-nada-moderados-do-vice/,Thais Reis Oliveira,Opinião
" No 1º mandato no Senado, Alcolumbre é veterano da ‘velha política’","
6 de fevereiro de 2019 ",https://www.cartacapital.com.br/politica/no-1o-mandato-no-senado-alcolumbre-e-veterano-da-velha-politica/,Thais Reis Oliveira,Política
